module,type,name,res_id,src,value,comments
openacademy,model,"ir.ui.menu,name",openacademy.session_menu,Sessions,sesiones,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Sessions,Sesiones,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_start_date,Start Date,Fecha de inicio,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Subscribe,Subcribirse,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_taken_seats,Taken seats,Asientos tomados,
openacademy,sql_constraint,openacademy.course,0,The course title must be unique,El titulo del curso debe ser unico,
openacademy,sql_constraint,openacademy.course,0,The title of the course should not be the description,El titulo del curso no debe ser la descripcion,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_name,Title,Título,
openacademy,model,"ir.model,name",openacademy.model_openacademy_course,openacademy.course,openacademy.course,
openacademy,model,"ir.model,name",openacademy.model_openacademy_session,openacademy.session,openacademy.session,
openacademy,model,"ir.model,name",openacademy.model_openacademy_wizard,openacademy.wizard,openacademy.wizard,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,or,o,
openacademy,model,"ir.ui.view,arch_db",openacademy.report_session_view,to,Para,
